Latitude (decimal degrees):	42.605
Longitude (decimal degrees):	23.482
Elevation (m):	699
Radiation database:	PVGIS-SARAH2


Slope: 17 deg. 
Azimuth: 7 deg. 
Nominal power of the PV system (c-Si) (kWp):	3.2
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,-3.52,1.59,0.0
20200101:0110,0.0,0.0,0.0,-3.26,1.66,0.0
20200101:0210,0.0,0.0,0.0,-3.27,1.72,0.0
20200101:0310,0.0,0.0,0.0,-2.96,1.66,0.0
20200101:0410,0.0,0.0,0.0,-3.1,1.45,0.0
20200101:0510,0.0,0.0,0.0,-3.12,1.31,0.0
20200101:0610,0.0,0.0,0.0,-3.21,1.17,0.0
20200101:0710,437.22,172.22,9.95,-3.24,1.1,0.0
20200101:0810,990.05,354.62,16.97,-3.82,1.45,0.0
20200101:0910,1231.94,432.13,21.89,-4.81,1.79,0.0
20200101:1010,1044.83,372.47,24.24,-1.68,1.86,0.0
20200101:1110,1473.73,524.75,23.71,-0.8,1.93,0.0
20200101:1210,1381.12,492.8,20.38,-0.57,2.0,0.0
20200101:1310,992.74,359.78,14.64,-0.69,2.07,0.0
20200101:1410,66.78,36.76,7.0,-1.31,1.72,0.0
20200101:1510,0.0,0.0,0.0,-3.13,1.45,0.0
20200101:1610,0.0,0.0,0.0,-3.03,1.1,0.0
20200101:1710,0.0,0.0,0.0,-2.63,0.9,0.0
20200101:1810,0.0,0.0,0.0,-3.06,0.76,0.0
20200101:1910,0.0,0.0,0.0,-2.77,0.83,0.0
20200101:2010,0.0,0.0,0.0,-3.21,0.76,0.0
20200101:2110,0.0,0.0,0.0,-3.53,0.62,0.0
20200101:2210,0.0,0.0,0.0,-3.75,0.55,0.0
20200101:2310,0.0,0.0,0.0,-3.9,0.69,0.0
20200102:0010,0.0,0.0,0.0,-4.05,0.69,0.0
20200102:0110,0.0,0.0,0.0,-4.29,0.55,0.0
20200102:0210,0.0,0.0,0.0,-4.54,0.55,0.0
20200102:0310,0.0,0.0,0.0,-4.8,0.34,0.0
20200102:0410,0.0,0.0,0.0,-5.07,0.14,0.0
20200102:0510,0.0,0.0,0.0,-5.2,0.28,0.0
20200102:0610,0.0,0.0,0.0,-5.38,0.21,0.0
20200102:0710,540.67,209.91,9.96,-4.5,0.28,0.0
20200102:0810,1043.17,375.32,17.0,-3.69,0.76,0.0
20200102:0910,1366.72,486.68,21.95,-2.82,1.03,0.0
20200102:1010,1462.88,521.74,24.32,-1.79,1.24,0.0
20200102:1110,1575.97,565.33,23.81,-0.71,1.31,0.0
20200102:1210,1460.64,525.22,20.5,-0.46,1.24,0.0
20200102:1310,1124.42,409.1,14.76,-0.64,1.17,0.0
20200102:1410,59.52,33.86,7.13,-1.6,0.97,0.0
20200102:1510,0.0,0.0,0.0,-1.91,0.9,0.0
20200102:1610,0.0,0.0,0.0,-1.69,0.55,0.0
