time,min_power,max_power
20200101:0010,0,0
20200101:0110,0,0
20200101:0210,0,0
20200101:0310,0,0
20200101:0410,0,0
20200101:0510,0,0
20200101:0610,0,0
20200101:0710,11,166
20200101:0810,61,354
20200101:0910,184,496
20200101:1010,118,539
20200101:1110,185,467
20200101:1210,99,436
20200101:1310,41,250
20200101:1410,2,93
20200101:1510,0,0
20200101:1610,0,0
20200101:1710,0,0
20200101:1810,0,0
20200101:1910,0,0
20200101:2010,0,0
20200101:2110,0,0
20200101:2210,0,0
20200101:2310,0,0
20200102:0010,0,0
20200102:0110,0,0
20200102:0210,0,0
20200102:0310,0,0
20200102:0410,0,0
20200102:0510,0,0
20200102:0610,0,0
20200102:0710,11,166
20200102:0810,61,354
20200102:0910,184,496
20200102:1010,118,539
20200102:1110,185,467
20200102:1210,99,436
20200102:1310,41,250
20200102:1410,2,93
20200102:1510,0,0
20200102:1610,0,0
20200102:1710,0,0
20200102:1810,0,0
20200102:1910,0,0
20200102:2010,0,0
20200102:2110,0,0
20200102:2210,0,0
20200102:2310,0,0
20200103:0010,0,0
20200103:0110,0,0
20200103:0210,0,0
20200103:0310,0,0
20200103:0410,0,0
20200103:0510,0,0
20200103:0610,0,0
20200103:0710,11,166
20200103:0810,61,354
20200103:0910,184,496
20200103:1010,118,539
20200103:1110,185,467
20200103:1210,99,436
20200103:1310,41,250
20200103:1410,2,93
20200103:1510,0,0
20200103:1610,0,0
20200103:1710,0,0
20200103:1810,0,0
20200103:1910,0,0
20200103:2010,0,0
20200103:2110,0,0
20200103:2210,0,0
20200103:2310,0,0
20200104:0010,0,0
20200104:0110,0,0
20200104:0210,0,0
20200104:0310,0,0
20200104:0410,0,0
20200104:0510,0,0
20200104:0610,0,0
20200104:0710,11,166
20200104:0810,61,354
20200104:0910,217,496
20200104:1010,240,539
20200104:1110,185,465
20200104:1210,99,436
20200104:1310,41,271
20200104:1410,5,93
20200104:1510,0,0
20200104:1610,0,0
20200104:1710,0,0
20200104:1810,0,0
20200104:1910,0,0
20200104:2010,0,0
20200104:2110,0,0
20200104:2210,0,0
20200104:2310,0,0
20200105:0010,0,0
20200105:0110,0,0
20200105:0210,0,0
20200105:0310,0,0
20200105:0410,0,0
20200105:0510,0,0
20200105:0610,0,0
20200105:0710,11,166
20200105:0810,61,354
20200105:0910,232,496
20200105:1010,264,539
20200105:1110,145,465
20200105:1210,115,436
20200105:1310,41,271
20200105:1410,5,93
20200105:1510,0,0
20200105:1610,0,0
20200105:1710,0,0
20200105:1810,0,0
20200105:1910,0,0
20200105:2010,0,0
20200105:2110,0,0
20200105:2210,0,0
20200105:2310,0,0
20200106:0010,0,0
20200106:0110,0,0
20200106:0210,0,0
20200106:0310,0,0
20200106:0410,0,0
20200106:0510,0,0
20200106:0610,0,0
20200106:0710,11,166
20200106:0810,61,354
20200106:0910,270,496
20200106:1010,264,539
20200106:1110,145,465
20200106:1210,115,436
20200106:1310,41,271
20200106:1410,5,122
20200106:1510,0,0
20200106:1610,0,0
20200106:1710,0,0
20200106:1810,0,0
20200106:1910,0,0
20200106:2010,0,0
20200106:2110,0,0
20200106:2210,0,0
20200106:2310,0,0
20200107:0010,0,0
20200107:0110,0,0
20200107:0210,0,0
20200107:0310,0,0
20200107:0410,0,0
20200107:0510,0,0
20200107:0610,0,0
20200107:0710,11,166
20200107:0810,61,355
20200107:0910,270,500
20200107:1010,276,565
20200107:1110,145,554
20200107:1210,115,436
20200107:1310,41,271
20200107:1410,5,122
20200107:1510,0,0
20200107:1610,0,0
20200107:1710,0,0
20200107:1810,0,0
20200107:1910,0,0
20200107:2010,0,0
20200107:2110,0,0
20200107:2210,0,0
20200107:2310,0,0
20200108:0010,0,0
20200108:0110,0,0
20200108:0210,0,0
20200108:0310,0,0
20200108:0410,0,0
20200108:0510,0,0
20200108:0610,0,0
20200108:0710,11,166
20200108:0810,61,355
20200108:0910,270,500
20200108:1010,276,565
20200108:1110,145,554
20200108:1210,115,436
20200108:1310,41,271
20200108:1410,5,122
20200108:1510,0,0
20200108:1610,0,0
20200108:1710,0,0
20200108:1810,0,0
20200108:1910,0,0
20200108:2010,0,0
20200108:2110,0,0
20200108:2210,0,0
20200108:2310,0,0
20200109:0010,0,0
20200109:0110,0,0
20200109:0210,0,0
20200109:0310,0,0
20200109:0410,0,0
20200109:0510,0,0
20200109:0610,0,0
20200109:0710,11,161
20200109:0810,61,355
20200109:0910,270,503
20200109:1010,276,592
20200109:1110,145,576
20200109:1210,115,478
20200109:1310,41,307
20200109:1410,5,148
20200109:1510,0,0
20200109:1610,0,0
20200109:1710,0,0
20200109:1810,0,0
20200109:1910,0,0
20200109:2010,0,0
20200109:2110,0,0
20200109:2210,0,0
20200109:2310,0,0
20200110:0010,0,0
20200110:0110,0,0
20200110:0210,0,0
20200110:0310,0,0
20200110:0410,0,0
20200110:0510,0,0
20200110:0610,0,0
20200110:0710,11,161
20200110:0810,61,355
20200110:0910,270,503
20200110:1010,276,592
20200110:1110,145,576
20200110:1210,115,478
20200110:1310,41,313
20200110:1410,5,148
20200110:1510,0,0
20200110:1610,0,0
20200110:1710,0,0
20200110:1810,0,0
20200110:1910,0,0
20200110:2010,0,0
20200110:2110,0,0
20200110:2210,0,0
20200110:2310,0,0
20200111:0010,0,0
20200111:0110,0,0
20200111:0210,0,0
20200111:0310,0,0
20200111:0410,0,0
20200111:0510,0,0
20200111:0610,0,0
20200111:0710,11,172
20200111:0810,61,370
20200111:0910,270,550
20200111:1010,276,601
20200111:1110,145,576
20200111:1210,115,492
20200111:1310,41,313
20200111:1410,5,158
20200111:1510,0,0
20200111:1610,0,0
20200111:1710,0,0
20200111:1810,0,0
20200111:1910,0,0
20200111:2010,0,0
20200111:2110,0,0
20200111:2210,0,0
20200111:2310,0,0
20200112:0010,0,0
20200112:0110,0,0
20200112:0210,0,0
20200112:0310,0,0
20200112:0410,0,0
20200112:0510,0,0
20200112:0610,0,0
20200112:0710,11,176
20200112:0810,61,370
20200112:0910,274,550
20200112:1010,276,601
20200112:1110,145,576
20200112:1210,115,492
20200112:1310,41,313
20200112:1410,5,158
20200112:1510,0,0
20200112:1610,0,0
20200112:1710,0,0
20200112:1810,0,0
20200112:1910,0,0
20200112:2010,0,0
20200112:2110,0,0
20200112:2210,0,0
20200112:2310,0,0
20200113:0010,0,0
20200113:0110,0,0
20200113:0210,0,0
20200113:0310,0,0
20200113:0410,0,0
20200113:0510,0,0
20200113:0610,0,4
20200113:0710,28,176
20200113:0810,157,370
20200113:0910,239,550
20200113:1010,276,601
20200113:1110,145,576
20200113:1210,115,492
20200113:1310,41,356
20200113:1410,5,172
20200113:1510,0,0
20200113:1610,0,0
20200113:1710,0,0
20200113:1810,0,0
20200113:1910,0,0
20200113:2010,0,0
20200113:2110,0,0
20200113:2210,0,0
20200113:2310,0,0
20200114:0010,0,0
20200114:0110,0,0
20200114:0210,0,0
20200114:0310,0,0
20200114:0410,0,0
20200114:0510,0,0
20200114:0610,0,4
20200114:0710,28,176
20200114:0810,157,370
20200114:0910,239,550
20200114:1010,297,601
20200114:1110,145,576
20200114:1210,115,492
20200114:1310,41,356
20200114:1410,5,172
20200114:1510,0,0
20200114:1610,0,0
20200114:1710,0,0
20200114:1810,0,0
20200114:1910,0,0
20200114:2010,0,0
20200114:2110,0,0
20200114:2210,0,0
20200114:2310,0,0
20200115:0010,0,0
20200115:0110,0,0
20200115:0210,0,0
20200115:0310,0,0
20200115:0410,0,0
20200115:0510,0,0
20200115:0610,0,6
20200115:0710,28,176
20200115:0810,157,370
20200115:0910,239,550
20200115:1010,297,601
20200115:1110,145,576
20200115:1210,115,492
20200115:1310,49,356
20200115:1410,5,172
